HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.7HG0718990	peroxidase 2 (PA2);Peroxidase superfamily protein	prx25;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
HORVU.MOREX.r3.7HG0719010	Peroxidase superfamily protein	prx29;prx30, OsPrx30;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
HORVU.MOREX.r3.7HG0719040.1.CDS1	Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.7HG0719050.1.CDS1	Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.7HG0719060.1.CDS1	Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.7HG0719070	SUMO-activating enzyme 1A (SAE1A);SUMO activating enzyme 1B (SAE1B);SUMO-activating enzyme 1B (SAE1B)	OsSAE1, OsSAE1.1, OsSAE1.2, OsSAE1.3
HORVU.MOREX.r3.7HG0719110	Peroxidase superfamily protein	prx29;prx30, OsPrx30;prx86, OsPRX86;prx88, OsPRX88
HORVU.MOREX.r3.7HG0719170	O-fucosyltransferase family protein	
HORVU.MOREX.r3.7HG0719210	EXCESS MICROSPOROCYTES1 (EMS1);Leucine-rich repeat protein kinase family protein;maternal effect embryo arrest 62 (MEE62)	Msp1, OsMSP1, OsTMS15, TMS15
HORVU.MOREX.r3.7HG0719220.1.CDS1	CBL-interacting protein kinase 12 (CIPK12);CBL-interacting protein kinase 13 (CIPK13);CBL-interacting protein kinase 18 (CIPK18);CBL-interacting protein kinase 19 (CIPK19);CBL-interacting protein kinase 20 (CIPK20)	OsCIPK05, CIPK5, OsCIPK5, OsSTA7, OsSnRK3.2, SnRK3.2;OsCIPK13, OsSnRK3.1, SnRK3.1;OsCIPK19, OsPK4, OsPK04, Os-CIPK19, CIPK19, OsSnRK3.20, SnRK3.20;OsCIPK25, OsSnRK3.21, SnRK3.21;OsPK7, OsPK07, OsCIPK12, CIPK12, OsSnRK3.6, SnRK3.6
HORVU.MOREX.r3.7HG0719250.1.CDS1	ATL3;RING/U-box superfamily protein;TOXICOS EN LEVADURA 2 (ATL2)	EL5.1, EL5.2, EL5.3, EL5.4, EL5.5, EL5.6, OsRING64, RING64;OsATL69, OsRING255, RING255, OsC3HC4_061, C3HC4_061;OsRING62;OsRING65;OsRING66
HORVU.MOREX.r3.7HG0719260	Peroxidase superfamily protein	prx81, OsPRX81;prx84;prx85;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87
HORVU.MOREX.r3.7HG0719300.1.CDS1	unknown protein	
HORVU.MOREX.r3.7HG0719310.1.CDS1	unknown protein	
HORVU.MOREX.r3.7HG0719320	Nucleotide-sugar transporter family protein	
HORVU.MOREX.r3.7HG0719340	crooked neck protein, putative / cell cycle protein, putative;Tetratricopeptide repeat (TPR)-like superfamily protein	OsCRN
HORVU.MOREX.r3.7HG0719350.1.CDS1	Plant mitochondrial ATPase, F0 complex, subunit 8 protein	
HORVU.MOREX.r3.7HG0719360.1.CDS1	ATP synthase subunit C family protein;mitochondrial F0-ATPase subunit 9 (ATP9)	
HORVU.MOREX.r3.7HG0719390	Protein of unknown function (DUF3133)	
HORVU.MOREX.r3.7HG0719410	TRICHOME BIREFRINGENCE-LIKE 19 (TBL19);TRICHOME BIREFRINGENCE-LIKE 23 (TBL23);TRICHOME BIREFRINGENCE-LIKE 24 (TBL24);TRICHOME BIREFRINGENCE-LIKE 25 (TBL25);TRICHOME BIREFRINGENCE-LIKE 26 (TBL26)	OsTBL48;OsTBL49;OsTBL57, OsXyBAT1, XyBAT1;OsTBL58, OsXyBAT2, XyBAT2;OsTBL61, OsXyBAT5, XyBAT5
HORVU.MOREX.r3.7HG0719420.1.CDS1	unknown protein	
HORVU.MOREX.r3.7HG0719440	heme oxygenase 3 (HO3);heme oxygenase 4 (HO4);REVERSAL OF THE DET PHENOTYPE 4 (TED4)	OsHO2, HO2, OsHO-2, HO-2;Se5, OsHO1, OsHO-1, OsHY1, HO-1, HO1, OsSE5, YGL2, YGL2/HO1
HORVU.MOREX.r3.7HG0719470	UDP-sugar pyrophosphorylase (USP)	
HORVU.MOREX.r3.7HG0719480	NOL1/NOP2/sun family protein	OsNSUN6
HORVU.MOREX.r3.7HG0719500	nudix hydrolase homolog 15 (NUDX15)	OsNUDX14, OsNUDX15b, NUDX15b;OsNUDX15a;OsNUDX5, OsNUDX11, NUDX11
HORVU.MOREX.r3.7HG0719510	unknown protein	
HORVU.MOREX.r3.7HG0719540.1.CDS1	DNA/RNA polymerases superfamily protein;Reverse transcriptase (RNA-dependent DNA polymerase)	
HORVU.MOREX.r3.7HG0719560	Plant protein of unknown function (DUF247)	OsDUF247
HORVU.MOREX.r3.7HG0719600.1.CDS1	DNA binding	
HORVU.MOREX.r3.7HG0719610.1.CDS1	DNA binding	
HORVU.MOREX.r3.7HG0719640	DNA binding	
HORVU.MOREX.r3.7HG0719650	SPX  domain gene 1 (SPX1);SPX domain gene 2 (SPX2);SPX domain gene 3 (SPX3);SPX domain gene 4 (SPX4)	OsSPX1;OsSPX2;OsSPX3;OsSPX4, Os-SPX4;OsSPX5
HORVU.MOREX.r3.7HG0719680	SHINE 1 (SHN1);shine2 (SHN2);shine3 (SHN3)	Os02ERF, OsSHN1, OsWR1, WR1, OsERF#003, OsERF003, OsERF3, AP2/EREBP#012, AP2/EREBP12;Os06ERF, OsWR2, WR2, OsERF#001, OsERF001, OsERF1, AP2/EREBP#057, AP2/EREBP57, RD1, OsSHN, SHN;OsERF#129, OsERF129, AP2/EREBP#045, AP2/EREBP45;OsWR3, WR3, OsERF#127, OsERF127, AP2/EREBP#023, AP2/EREBP23, OsERF3, ERF3;OsWR4, WR4, OsERF#002, OsERF002, ERF002, OsERF2, AP2/EREBP#100, AP2/EREBP100
HORVU.MOREX.r3.7HG0719720	phospholipase D alpha 1 (PLDALPHA1);phospholipase D alpha 2 (PLDALPHA2)	OsPLDalpha2, OsC2DP43, C2DP43;OsPLDalpha3, RPLD2, PLDalpha3, OsPLDeta1, PLD2, OsC2DP52, C2DP52;OsPLDalpha4, RPLD3, OsPLDeta2, OsC2DP50, C2DP50;RPLD1, PLD1, OsPLDalpha1, OsC2DP2, C2DP2
HORVU.MOREX.r3.7HG0719740	adenine nucleotide transporter 1 (ADNT1);Mitochondrial substrate carrier family protein	OsBT1-2
HORVU.MOREX.r3.7HG0719840	unknown protein	
HORVU.MOREX.r3.7HG0719850	myb domain protein 101 (MYB101);myb domain protein 81 (MYB81)	OsGAMYB, GAM1, OsGAMyb, Os-MYBGA, Os GAMYB, OsMYBGA, MYBGA, Os2R_MYB15, 2R_MYB15, MYB2-16, OsMYB2-16;OsGAMYBL1, OsMYB80, MYB80, Os2R_MYB66, 2R_MYB66, MYB2-77, OsMYB2-77
HORVU.MOREX.r3.7HG0719860	aspartic proteinase A1 (APA1);Saposin-like aspartyl protease family protein	Oryzasin;OsAP10, AP10
HORVU.MOREX.r3.7HG0719890	ethylene-responsive element binding protein (EBP);HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2 (HRE2);related to AP2 12 (RAP2.12)	OsEREBP1, OsERF#070, OsERF070, OsERF70, ERF70, AP2/EREBP#084, AP2/EREBP84;OsEREBP, OsERF#072, OsERF072, OsERF72, AP2/EREBP#064, AP2/EREBP64, BIERF1, OsBIERF1, OsEBP2;OsERF#071, OsERF071, OsERF71, AP2/EREBP#124, AP2/EREBP124, OsERF15
HORVU.MOREX.r3.7HG0720010	EIN3-binding F box protein 1 (EBF1);EIN3-binding F box protein 2 (EBF2);F-box/RNI-like superfamily protein;RNI-like superfamily protein	FBOX316, OsFbox316, Fbox316, Os_F0624, OsEBF1, EBF1, OsFBL30, FBL30, OsCRW1;Os_F0723, OsFBL67, FBL67;OsFbox072, OsFbox72, Fbox72, Os_F0508, OsEBF2, EBF2, OsFBL7, FBL7
HORVU.MOREX.r3.7HG0720050	Ca2+regulated serine-threonine protein kinase family protein;CBL-interacting protein kinase 8 (CIPK8);SALT OVERLY SENSITIVE 2 (SOS2)	CIPK24, OsCIPK24, OsSOS2, OsSnRK3.22, SnRK3.22;OsCIPK08, CIPK8, OsCIPK8, OsSnRK3.4, SnRK3.4;OsCIPK23, Os-CIPK23, OsSnRK3.23, SnRK3.23;OsCIPK32, OsSnRK3.34, SnRK3.34
HORVU.MOREX.r3.7HG0720050	Ca2+regulated serine-threonine protein kinase family protein;CBL-interacting protein kinase 8 (CIPK8);SALT OVERLY SENSITIVE 2 (SOS2)	CIPK24, OsCIPK24, OsSOS2, OsSnRK3.22, SnRK3.22;OsCIPK08, CIPK8, OsCIPK8, OsSnRK3.4, SnRK3.4;OsCIPK23, Os-CIPK23, OsSnRK3.23, SnRK3.23
HORVU.MOREX.r3.7HG0720070	Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.7HG0720080	TPX2 (targeting protein for Xklp2) protein family	BIP118
HORVU.MOREX.r3.7HG0720100	Glycosyl hydrolase superfamily protein	OsBG14;OsBGL14X
HORVU.MOREX.r3.7HG0720110.1.CDS1	BEST Arabidopsis thaliana protein match is: loricrin-related (TAIR:AT5G64550.1);loricrin-related;WRKY19	IIP1;IIP2
HORVU.MOREX.r3.7HG0720130	phosphatidic acid phosphatase-related / PAP2-related;REDUCED OLEATE DESATURATION 1 (ROD1)	OsPDCT
HORVU.MOREX.r3.7HG0720140	Sec14p-like phosphatidylinositol transfer family protein	OsSec14-17, Sec14-17;OsSec14-22, Sec14-22;OsSec14-7, Sec14-7
HORVU.MOREX.r3.7HG0720160	ABC-2 type transporter family protein;WBC27	OsABCG1;OsABCG10;OsABCG15, PDA, PDA1, OsABCG15/PDA1;OsABCG27;OsABCG4, OsABCG22, ABCG22
HORVU.MOREX.r3.7HG0720200	AAA-type ATPase family protein;regulatory particle triple-A ATPase 4A (RPT4A);regulatory particle triple-A ATPase 6A (RPT6A)	OsRpt1a, Rpt1a;OsRpt1b, Rpt1b;OsRpt4a, Rpt4a;OsRpt4b, Rpt4b
HORVU.MOREX.r3.7HG0720210	C2 calcium/lipid-binding and GRAM domain containing protein	OsC2DP35;OsC2DP49;OsC2DP71;OsNOP, OsC2DP53, C2DP53;OsSTA54, OsC2DP14
HORVU.MOREX.r3.7HG0720280	polyamine oxidase 1 (PAO1);polyamine oxidase 2 (PAO2);polyamine oxidase 3 (PAO3);polyamine oxidase 4 (PAO4)	OsPAO3, OsAO3, AO3;OsPAO4, OsAO1, AO1;OsPAO7, OsPAO3, PAO3;PAOa, OsPAO2, PAO2, OsPAOa;PAOb, OsPAOb, OsPAO6, OsPAO2, PAO6, PAO2
HORVU.MOREX.r3.7HG0720310.1.CDS1	ORGANELLE TRANSCRIPT PROCESSING 81 (OTP81);Pentatricopeptide repeat (PPR) superfamily protein;SLOW GROWTH 1 (SLO1)	OsPLS30;PPR
HORVU.MOREX.r3.7HG0720350	HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2 (HRE2);related to AP2 12 (RAP2.12);related to AP2 2 (RAP2.2)	OsEREBP1, OsERF#070, OsERF070, OsERF70, ERF70, AP2/EREBP#084, AP2/EREBP84;OsEREBP, OsERF#072, OsERF072, OsERF72, AP2/EREBP#064, AP2/EREBP64, BIERF1, OsBIERF1, OsEBP2;OsERF#071, OsERF071, OsERF71, AP2/EREBP#124, AP2/EREBP124, OsERF15
HORVU.MOREX.r3.7HG0720390.1.CDS1	CHLORORESPIRATORY REDUCTION22 (CRR22);DEFECTIVELY ORGANIZED TRIBUTARIES 4 (DOT4);ORGANELLE TRANSCRIPT PROCESSING 84 (OTP84);ORGANELLE TRANSCRIPT PROCESSING 86 (OTP86);Pentatricopeptide repeat (PPR) superfamily protein	OsASL
HORVU.MOREX.r3.7HG0720470	Protein kinase superfamily protein;ser/arg-rich protein kinase 4 (SRPK4)	OsRPK1
HORVU.MOREX.r3.7HG0720560	cinnamyl alcohol dehydrogenase 6 (CAD6);cinnamyl alcohol dehydrogenase 9 (CAD9);cinnamyl alcohol dehydrogenase homolog 2 (CAD2);elicitor-activated gene 3-1 (ELI3-1);elicitor-activated gene 3-2 (ELI3-2)	OsCAD3;OsCAD5;OsCAD7, fc1, CAD7;OsCAD8B;OsCAD8C, CAD8c
HORVU.MOREX.r3.7HG0720600	unknown protein	
HORVU.MOREX.r3.7HG0720630	serine carboxypeptidase-like 17 (scpl17)	OsSCP19;OsSCP44;OsSCP56;OsSCP64
HORVU.MOREX.r3.7HG0720650	MATERNAL EFFECT EMBRYO ARREST 5 (MEE5);Ribosomal protein S5/Elongation factor G/III/V family protein	
HORVU.MOREX.r3.7HG0720670	Nucleoside diphosphate kinase family protein	
HORVU.MOREX.r3.7HG0720680	SNF7.1;SNF7.2	NP39, OsSNF7.2, SNF7.2, OsRL17;OsSNF7, OsSnf7, Snf7
HORVU.MOREX.r3.7HG0720690.1.CDS1	PHF5-like protein	OsPHF5A2;PHF5A1, OsPHF5A1, PHF5A, OsPHF5A, OsOGR
HORVU.MOREX.r3.7HG0720690.2.CDS2	PHF5-like protein	OsPHF5A2;PHF5A1, OsPHF5A1, PHF5A, OsPHF5A, OsOGR
HORVU.MOREX.r3.7HG0720710	non-intrinsic ABC protein 8 (NAP8);transporter associated with antigen processing protein 2 (TAP2)	MDR4, OsABCB5, ABCB5, OsPGP5, OsMDR7, OsISC28, MRP4, OsMRP4, OsABCB11, ABCB11, MR7, OsMR7, HAN2, OsHAN2;OsABCB19, OsPGP19;OsABCB26;OsABCB6, ABCB6, OsPGP6, OsMDR8, OsISC31;OsALS1, OsABCB25, ABCB25
HORVU.MOREX.r3.7HG0720720	Got1/Sft2-like vescicle transport protein family	
HORVU.MOREX.r3.7HG0720730	Aldolase superfamily protein	AldC-1, OsALDC1, OsFBA4, FBA4;GSC 233, AldC-2, OsAldC-2, OsFBA, FBA, OsFBA6, FBA6;OsAld-Y, Ald-Y, YGDL-1, OsFBA3, FBA3
HORVU.MOREX.r3.7HG0720740	RING domain ligase2 (RGLG2)	OsRING84, OsvWA20, vWA20, OsRGLG5, RGLG5;OsRING89, OsvWA26, vWA26, OsRGLG6, RGLG6
HORVU.MOREX.r3.7HG0720750	RING domain ligase2 (RGLG2)	OsRING84, OsvWA20, vWA20, OsRGLG5, RGLG5;OsRING89, OsvWA26, vWA26, OsRGLG6, RGLG6
HORVU.MOREX.r3.7HG0720770	ARA12;AUXIN-INDUCED IN ROOT CULTURES 3 (AIR3);SBT5.4;subtilase family protein	OsSub12;OsSub3;OsSub50;OsSub55;OsSub58
HORVU.MOREX.r3.7HG0720790	Homeodomain-like superfamily protein;myb-like HTH transcriptional regulator family protein	OsMYBc, MYBc;OsPHL7
HORVU.MOREX.r3.7HG0720800	Calcium-binding EF-hand family protein	
HORVU.MOREX.r3.7HG0720810	alpha/beta-Hydrolases superfamily protein	OsPOP8, POP8;OsSTA53
HORVU.MOREX.r3.7HG0720830	unknown protein	
HORVU.MOREX.r3.7HG0720840	adenylate kinase 1 (ADK1);adenylate kinase family protein;Adenylate kinase family protein	Adk-a, OsAdk-a, OsAK3, AK3;OsAK1, OsAk2, Ak2;OsAK4
HORVU.MOREX.r3.7HG0720850	alpha carbonic anhydrase 2 (ACA2);alpha carbonic anhydrase 3 (ACA3);alpha carbonic anhydrase 4 (ACA4);alpha carbonic anhydrase 5 (ACA5);alpha carbonic anhydrase 7 (ACA7)	OsalphaCA3, alphaCA3;OsalphaCA4, alphaCA4;OsalphaCA5, alphaCA5;OsalphaCA6, alphaCA6;OsalphaCA7, alphaCA7
HORVU.MOREX.r3.7HG0720860.1.CDS1	farnesylated protein 6 (FP6);Heavy metal transport/detoxification superfamily protein 	OsHMP19, HMP19, OsHIPP41, OsaHIP41, HIP41;OsHMP21, HMP21, OsHIPP45, OsaHIP45, HIP45;OsHMP24, HMP24, OsHIPP42, OsaHIP42, HIP42;OsHMP3, HMP3, OsHMP03, OsHIPP43, OsaHIP43, HIP43
HORVU.MOREX.r3.7HG0720900.1.CDS1	GRAS family transcription factor;Lateral Suppressor (LAS);REPRESSOR OF GA1-3 1 (RGA1);RGA-like 1 (RGL1);RGA-like 2 (RGL2)	moc1, OsMOC1, OsGRAS-33, OsGRAS33, GRAS-33, GRAS33, GNP6, OsGNP6;OsGRAS-7, OsGRAS7, GRAS-7, Os7;OsRAM1, OsGRAS43, GRAS43;OsSCR1, OsSCR, OsGRAS-41, OsGRAS41, GRAS-41, GRAS41;OsSCRL, SCRL, Os-SCL7, OsSCL7, SCL7, OsGRAS-19, OsGRAS19, GRAS-19, GRAS19, OsGRAS18, GRAS18, DLT2, OsDLT2
HORVU.MOREX.r3.7HG0720960	MILDEW RESISTANCE LOCUS O 13 (MLO13);MILDEW RESISTANCE LOCUS O 15 (MLO15);MLO1	OsMLO2, OsMLO3, OsMlo2, MLO2, Mlo2, Mlo, MLO3;OsMLO5, MLO5;OsMLO5, OsMLO2;OsMLO6, OsMLO1, OsMlo1, Mlo, OsMlo-1, Mlo1, MLO6;OsMLO8, MLO8
HORVU.MOREX.r3.7HG0720970.1.CDS1	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein	
HORVU.MOREX.r3.7HG0720980	O-Glycosyl hydrolases family 17 protein	Gns12, OsGns12;OsBG13;PR2, OsPR2, OsBG3
HORVU.MOREX.r3.7HG0721000	receptor kinase 1 (RK1);receptor kinase 3 (RK3);receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	OsSIK2, YK14, SDRLK-SIK2, OsSDRLK-SIK2;SDRLK-22, OsSDRLK-22, OsSDRLK22;SDRLK-25, OsSDRLK-25, OsSDRLK25;SDRLK-34, OsSDRLK-34, OsSDRLK34;YK28, SDRLK-21, OsSDRLK-21, OsSDRLK21
HORVU.MOREX.r3.7HG0721040.1.CDS1	receptor kinase 1 (RK1);receptor kinase 3 (RK3);receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	OsSIK2, YK14, SDRLK-SIK2, OsSDRLK-SIK2;SDRLK-22, OsSDRLK-22, OsSDRLK22;SDRLK-25, OsSDRLK-25, OsSDRLK25;SDRLK-34, OsSDRLK-34, OsSDRLK34;YK28, SDRLK-21, OsSDRLK-21, OsSDRLK21
HORVU.MOREX.r3.7HG0721060	alpha-amylase-like 2 (AMY2);alpha-amylase-like 3 (AMY3);alpha-amylase-like (AMY1)	Amy1A/C*(RAmy1A/C), alpha Amy10, Amy1C, RAmy1A/C, Amy1A/C*, Amy3, RAmy1C, OsAmy1C, alphaAmy10-C, OsRAmy3A, RAmy3A;Amy1A/C*(RAmy1A/C), alpha Amy7, AMY1.1, Amy1A, RAmy1A/C, Amy1A/C*, Amy1, Amy1A_C, OsAmy1A, alphaAmy7-C, RAmy1A, AmyI-1, OsAmyI-1, OsRamy1A, RAmy1A;Amy2A*(RAmy2A), AMY1.5, AMYC2, RAmy2A, Amy4, Amy2A;Amy3D/E*(RAmy3D/E), alpha Amy3, AmyII-4, AMY1.3, Amy3D, Amy3D/E*, RAmy3D/E, Amy3D_E, Amy8, aAmy3, RAmy3D, OsAmy3D, alphaAmy3, OsRamy3D;Amy3D/E*(RAmy3D/E), alpha Amy8, alphaAmy8, AmyII-3, AMY1.4, Amy3E, Amy3D/E*, RAmy3D/E, Amy9, RAmy3E, alphaAmy8-C, AMY3E/AMY1.4, OsAmy3E, OsRamy3E, RAmy3E
HORVU.MOREX.r3.7HG0721070	Protein of unknown function (DUF1640)	
HORVU.MOREX.r3.7HG0721080	B-box zinc finger family protein;salt tolerance homolog2 (STH2);SALT TOLERANCE (STO)	OsBBX13, BBX13, OsRIP1, RIP1;OsBBX22, BBX22;OsBBX6
HORVU.MOREX.r3.7HG0721140	Aldolase-type TIM barrel family protein;FMN-linked oxidoreductases superfamily protein	
HORVU.MOREX.r3.7HG0721150	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	OsSTA181, STA181, OsPMT16, PMT16
HORVU.MOREX.r3.7HG0721170	AGAMOUS-like 6 (AGL6);APETALA 3 (AP3);PISTILLATA (PI);SEPALLATA 2 (SEP2)	OsMADS2, RMADS219, NMADS1, PI2, nmads1, DLN33, OsDLN33;OsMADS4, PI1, DLN140, OsDLN140;SPW1, spw1, MADS16, OsMADS16
HORVU.MOREX.r3.7HG0721200	alpha-amylase-like 2 (AMY2);alpha-amylase-like 3 (AMY3);alpha-amylase-like (AMY1)	Amy1A/C*(RAmy1A/C), alpha Amy10, Amy1C, RAmy1A/C, Amy1A/C*, Amy3, RAmy1C, OsAmy1C, alphaAmy10-C, OsRAmy3A, RAmy3A;Amy1A/C*(RAmy1A/C), alpha Amy7, AMY1.1, Amy1A, RAmy1A/C, Amy1A/C*, Amy1, Amy1A_C, OsAmy1A, alphaAmy7-C, RAmy1A, AmyI-1, OsAmyI-1, OsRamy1A, RAmy1A;Amy2A*(RAmy2A), AMY1.5, AMYC2, RAmy2A, Amy4, Amy2A;Amy3D/E*(RAmy3D/E), alpha Amy3, AmyII-4, AMY1.3, Amy3D, Amy3D/E*, RAmy3D/E, Amy3D_E, Amy8, aAmy3, RAmy3D, OsAmy3D, alphaAmy3, OsRamy3D;Amy3D/E*(RAmy3D/E), alpha Amy8, alphaAmy8, AmyII-3, AMY1.4, Amy3E, Amy3D/E*, RAmy3D/E, Amy9, RAmy3E, alphaAmy8-C, AMY3E/AMY1.4, OsAmy3E, OsRamy3E, RAmy3E
HORVU.MOREX.r3.7HG0721210	alpha-amylase-like 2 (AMY2);alpha-amylase-like 3 (AMY3);alpha-amylase-like (AMY1)	Amy1A/C*(RAmy1A/C), alpha Amy10, Amy1C, RAmy1A/C, Amy1A/C*, Amy3, RAmy1C, OsAmy1C, alphaAmy10-C, OsRAmy3A, RAmy3A;Amy1A/C*(RAmy1A/C), alpha Amy7, AMY1.1, Amy1A, RAmy1A/C, Amy1A/C*, Amy1, Amy1A_C, OsAmy1A, alphaAmy7-C, RAmy1A, AmyI-1, OsAmyI-1, OsRamy1A, RAmy1A;Amy2A*(RAmy2A), AMY1.5, AMYC2, RAmy2A, Amy4, Amy2A;Amy3A/B/C*(RAmy3A/B/C), AmyII-6, AMY1.7, Amy3C, RAmy3A/B/C, Amy3A/B/C*, Amy7, AMY3B, RAmy3C, OsAmy3B;Amy3D/E*(RAmy3D/E), alpha Amy3, AmyII-4, AMY1.3, Amy3D, Amy3D/E*, RAmy3D/E, Amy3D_E, Amy8, aAmy3, RAmy3D, OsAmy3D, alphaAmy3, OsRamy3D
HORVU.MOREX.r3.7HG0721220	unknown protein	
HORVU.MOREX.r3.7HG0721230	unknown protein	
HORVU.MOREX.r3.7HG0721250	LYR family of Fe/S cluster biogenesis protein	
HORVU.MOREX.r3.7HG0721290	Calcium-dependent protein kinase (CDPK) family protein;CDPK-related kinase 3 (CRK3);CDPK-related kinase (CRK)	CAMK;OsCDPK30, OsCPK30, CPK30;OsCRK1, OsCBK, CBK
HORVU.MOREX.r3.7HG0721320.1.CDS1	SAUR-like auxin-responsive protein family 	OsSAUR29, OsSAUR30, SAUR30;OsSAUR56, OsSAUR58, SAUR58
HORVU.MOREX.r3.7HG0721450.1.CDS1	Peroxidase superfamily protein	prx42;prx43, OsPRX43;prx48
HORVU.MOREX.r3.7HG0721460.1.CDS1	Peroxidase superfamily protein	prx42;prx43, OsPRX43;prx48
HORVU.MOREX.r3.7HG0721470.1.CDS1	Peroxidase superfamily protein	prx42;prx43, OsPRX43;prx48
HORVU.MOREX.r3.7HG0721540	Uncharacterised protein family (UPF0497)	OsCASP_like2
HORVU.MOREX.r3.7HG0721550	alpha/beta-Hydrolases superfamily protein;Serine carboxypeptidase S28 family protein	OsProCP1, PROCP1;OsProCP2, PROCP2;OsProCP5, PROCP5
HORVU.MOREX.r3.7HG0721560	DISRUPTION OF MEIOTIC CONTROL 1 (DMC1);homolog of X-ray repair cross complementing 3 (XRCC3) (XRCC3);RAS associated with diabetes protein 51 (RAD51)	OsDMC1A, OsDmc1A, Dmc1A, DMC1, OsDMC1, RiLIM15A, OsRad51;OsDMC1B, OsDmc1B, Dmc1B, RiLIM15B;OsRAD51A1, RAD51A1, OsCOLD11;OsRad51A2, OsRAD51;OsRAD51C, OsRad51C, RAD51C-1, RAD51C-2, RAD51C-3
HORVU.MOREX.r3.7HG0721570	P-loop containing nucleoside triphosphate hydrolases superfamily protein	
HORVU.MOREX.r3.7HG0721580.1.CDS1	RAB GTPase homolog A3 (RABA3);RAB GTPase homolog A4A (RABA4a);RAB GTPase homolog A4B (RABA4B);RAB GTPase homolog A4C (RABA4C);RAB GTPase homolog A4D (RABA4D)	OsRab11B2;OsRab11E1;OsRab11F1, OsPRA2, PRA2, OsPra2;OsRab11F2;rgp1, OsRab11E2
HORVU.MOREX.r3.7HG0721620	Putative membrane lipoprotein	
HORVU.MOREX.r3.7HG0721640	Protein kinase superfamily protein	OsRLCK155;OsRLCK218;OsRLCK232, PTK9, OsPTK9;OsRLCK278, RLCK278, PTK15, OsPTK15;OsRLCK80
HORVU.MOREX.r3.7HG0721650	novel plant snare 11 (NPSN11);novel plant snare 12 (NPSN12);novel plant snare 13 (NPSN13)	OsNPSN11, OryzaNPSN11;OsNPSN12, OryzaNPSN12;OsNPSN13, OryzaNPSN13
HORVU.MOREX.r3.7HG0721660	Uncharacterised conserved protein (UCP012943)	
HORVU.MOREX.r3.7HG0721680.1.CDS1	unknown protein	
HORVU.MOREX.r3.7HG0721690	glycosyl hydrolase 9B5 (GH9B5);glycosyl hydrolase 9B7 (GH9B7)	OsGH9B14;OsGH9B5;OsGH9B6;OsGH9C4
HORVU.MOREX.r3.7HG0721710	BEST Arabidopsis thaliana protein match is: kinectin-related (TAIR:AT5G66250.3);kinectin-related	
HORVU.MOREX.r3.7HG0721730.1.CDS1	Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	
HORVU.MOREX.r3.7HG0721760	Translocon-associated protein (TRAP), alpha subunit	
HORVU.MOREX.r3.7HG0721770	beta glucosidase 13 (BGLU13);beta glucosidase 40 (BGLU40);beta glucosidase 43 (BGLU43);B-S glucosidase 44 (BGLU44)	Os12bglu38, Os12Bglu38;Os1bglu1, Os1Bglu1;Os3bglu8, Os3BGlu8;Os7bglu26, Os7BGlu26
HORVU.MOREX.r3.7HG0721780	post-illumination chlorophyll fluorescence increase (PIFI)	
HORVU.MOREX.r3.7HG0721790.1.CDS1	CHLORORESPIRATORY REDUCTION22 (CRR22);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsPPS1;PPR, OsPLS34
HORVU.MOREX.r3.7HG0721800	Lactate/malate dehydrogenase family protein;malate dehydrogenase (MDH);peroxisomal NAD-malate dehydrogenase 1 (PMDH1);peroxisomal NAD-malate dehydrogenase 2 (PMDH2)	MDH, OsMDH8.1, OsLdh9, Ldh9;OsMDH1, OsLdh2, Ldh2;OsMDH7.1, OsLdh8, Ldh8;OsmMDH, mMDH, OsMDH1.2, MDH1.2, OsLdh1, Ldh1
HORVU.MOREX.r3.7HG0721820	replication factor C1 (RFC1)	OsRFC1
HORVU.MOREX.r3.7HG0721830	germin-like protein 6 (GLP6);RmlC-like cupins superfamily protein	OsGLP8-12, OsCDP8.12, CDP8.12;OsGLP8-3, GLP8-3, OsGER2, OsCDP8.3, CDP8.3;OsGLP8-4, GLP8-4, OsGER1, OsGer1, OsCDP8.4, CDP8.4;OsGLP8-9, OsCDP8.9, CDP8.9
