QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_6BG0494760	cyclic nucleotide gated channel 10 (CNGC10);cyclic nucleotide-gated channel 13 (CNGC13);cyclic nucleotide gated channel 1 (CNGC1)	OsCNGC10, OsCNGC11, CNGC11;OsCNGC12, OsCNGC2, CNGC2;OsCNGC2, OsCNGC1, CNGC1;OsCNGC6, OsCNGC4, CNGC4, OsSTA107;OsCNGC8, OsCNGC6, CNGC6, OsCNGC9
QOZ80_6BG0494770	spermidine synthase 3 (SPDS3)	OsSPDS2, OsSPMS1, SPMS1;OsSPMS2, OsSPDS3, SPDS3
QOZ80_6BG0494790	acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase (CHAT);HXXXD-type acyl-transferase family protein	AM10;OsBEBT, BEBT, SD2, OsSD2
QOZ80_6BG0494800	detoxifying efflux carrier 35 (DTX35);MATE efflux family protein	OsMATE33;OsMATE34;OsMATE7
QOZ80_6BG0494810	HXXXD-type acyl-transferase family protein	
QOZ80_6BG0494820	peptide transporter 2 (PTR2);peptide transporter  5 (PTR5)	PTR
QOZ80_6BG0494830	PHD finger protein-related	OsUBR7
QOZ80_6BG0494890	CHLORORESPIRATORY REDUCTION 2 (CRR2);ORGANELLE TRANSCRIPT PROCESSING 82 (OTP82);Pentatricopeptide repeat (PPR) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsPPR16;OsPPR406
QOZ80_6BG0494910	Acid phosphatase/vanadium-dependent haloperoxidase-related protein	
QOZ80_6BG0494920	SOMBRERO (SMB)	ONAC007, ONAC7, OsSND1, SND1, OsSWN1, SWN1, DLN157, OsDLN157, OsSWN1/NST, NST, OsNST;ONAC013, ONAC13, ONAC064, ONA064, DLN53, OsDLN53;ONAC029, ONAC29, OsSWN2, OsSWN2L, OsSWN2S, OsNST1/2, SWN2, SWN2L, SWN2S, NST1/2, DLN201, OsDLN201;ONAC056, ONAC56, OsSWN5, SWN5;OsNAC7, ONAC076, NAC76, OsNAC7/ONAC093, ONAC093, ONAC93, NAC93, DLN167, OsDLN167
QOZ80_6BG0494950	Glycosyl hydrolase superfamily protein	OsBG11;OsBGL14X
QOZ80_6BG0494960	Class I glutamine amidotransferase-like superfamily protein	OsDJ-1A, DJ-1A;OsDJ-1B, DJ-1B;OsDJ-1D, DJ-1D, OsDJ-1D.1, OsDJ-1D.2, OsDJ-1D.3, OsDJ-1D.4, OsDJ-1D.5;OsDJ-1E, DJ-1E
QOZ80_6BG0494970	INVOLVED IN: biological_process unknown;TRICHOME BIREFRINGENCE-LIKE 37 (TBL37);TRICHOME BIREFRINGENCE-LIKE 38 (TBL38);TRICHOME BIREFRINGENCE-LIKE 39 (TBL39);TRICHOME BIREFRINGENCE-LIKE 41 (TBL41)	OsTBL18;OsTBL19;OsTBL20;OsTBL21
QOZ80_6BG0494980	INVOLVED IN: biological_process unknown;TRICHOME BIREFRINGENCE-LIKE 37 (TBL37);TRICHOME BIREFRINGENCE-LIKE 38 (TBL38);TRICHOME BIREFRINGENCE-LIKE 41 (TBL41)	OsTBL18;OsTBL19;OsTBL20;OsTBL21
QOZ80_6BG0495000	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP33, OsGELP33a, OsGELP33b, OsGELP33c;OsGELP3, OsGELP3a, OsGELP3b;OsGELP84;OsGELP85
QOZ80_6BG0495010	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP2, OsGELP2a, OsGELP2b;OsGELP3, OsGELP3a, OsGELP3b;OsGELP63;OsGELP84;OsGELP85
QOZ80_6BG0495020	E3 ubiquitin ligase SCF complex subunit SKP1/ASK1 family protein;SKP1-like 11 (SK11);SKP1-like 3 (SK3);SKP1-like 4 (SK4);S phase kinase-associated protein 1 (SKP1)	OSK15, OsSK15;OSK5;OSK6, OsSK6;SKP1, OsSKP1;SKP20, OsSKP20
QOZ80_6BG0495060	RING/U-box superfamily protein	OsATL17, OsRING334, RING334;OsRING262;OsRING4
QOZ80_6BG0495090	RING/U-box superfamily protein	OsRING187;OsRING251;OsRING55
QOZ80_6BG0495140	Glycosyltransferase family 61 protein	
QOZ80_6BG0495210	Peroxidase superfamily protein	prx2;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
QOZ80_6BG0495250	RING/U-box superfamily protein	OsRING257;OsRING265;OsRING266;OsRING267
QOZ80_6BG0495260	RING/U-box superfamily protein	OsRING261;OsRING265;OsRING266;OsRING267
QOZ80_6BG0495340	Carbohydrate-binding X8 domain superfamily protein;O-Glycosyl hydrolases family 17 protein;plasmodesmata callose-binding protein 5 (PDCB5)	Gns9, OsGns9, OsPR8a, PR8a, OsBGL12, BGL12, BG12, OsBG12
QOZ80_6BG0495350	TCP-1/cpn60 chaperonin family protein	
QOZ80_6BG0495360	unknown protein	
QOZ80_6BG0495380	Protein of unknown function, DUF538;SMALLER WITH VARIABLE BRANCHES (SVB)	
QOZ80_6BG0495390	amino acid transporter 1 (AAT1);cationic amino acid transporter 5 (CAT5);cationic amino acid transporter 7 (CAT7);cationic amino acid transporter 8 (CAT8)	OsCAT1;OsCAT10;OsCAT3;OsCAT6;OsCAT8
QOZ80_6BG0495420	Intron maturase, type II family protein	
QOZ80_6BG0495440	CTC-interacting domain 11 (CID11);CTC-interacting domain 12 (CID12);CTC-interacting domain 8 (CID8);CTC-interacting domain 9 (CID9)	OsDCET1, RRM1-150, OsRRM1-150;OsRRM1-27;OsRRM1-3
QOZ80_6BG0495450	arogenate dehydrogenase;prephenate dehydrogenase family protein	
QOZ80_6BG0495470	Heavy metal transport/detoxification superfamily protein 	OsHMP32, HMP32, OsHIPP48, OsHIPP48, OsaHIP48, HIP48, HIP28-4, OsHIP28-4;OsHMP6, HMP6, OsHMP06, OsHIPP47, OsaHIP47, HIP47, HIP28-1, OsHIP28-1
QOZ80_6BG0495480	phosphoenolpyruvate carboxylase 2 (PPC2);phosphoenolpyruvate carboxylase 3 (PPC3)	Osppc2b, ppc2b;Osppc, OSPPC, Osppc2a, ppc2a;PEPC-1, Osppc1, ppc1
QOZ80_6BG0495490	phosphoenolpyruvate carboxylase 1 (PPC1);phosphoenolpyruvate carboxylase 2 (PPC2)	Osppc2b, ppc2b;Osppc, OSPPC, Osppc2a, ppc2a;PEPC-1, Osppc1, ppc1
QOZ80_6BG0495500	Homeodomain-like superfamily protein;myb-like HTH transcriptional regulator family protein	OsDLN168;OsDLN52
QOZ80_6BG0495510	CBL-interacting protein kinase 12 (CIPK12);CBL-interacting protein kinase 13 (CIPK13);CBL-interacting protein kinase 18 (CIPK18);CBL-interacting protein kinase 19 (CIPK19);CBL-interacting protein kinase 20 (CIPK20)	OsCIPK05, CIPK5, OsCIPK5, OsSTA7, OsSnRK3.2, SnRK3.2;OsCIPK13, OsSnRK3.1, SnRK3.1;OsCIPK19, OsPK4, OsPK04, Os-CIPK19, CIPK19, OsSnRK3.20, SnRK3.20;OsCIPK25, OsSnRK3.21, SnRK3.21;OsPK7, OsPK07, OsCIPK12, CIPK12, OsSnRK3.6, SnRK3.6
QOZ80_6BG0495520	EXCESS MICROSPOROCYTES1 (EMS1);inflorescence meristem receptor-like kinase 2 (IMK2);Leucine-rich repeat protein kinase family protein;maternal effect embryo arrest 62 (MEE62)	OsLRK6, OsPSKR4, PSKR4;OsLRR-RLK1, OsPSKR12, PSKR12, OsPSKR, PSKR
QOZ80_6BG0495530	Pectin lyase-like superfamily protein	OsPGL1, PGL1;OsPGL2, PGL2;OsPGL3, OsPG2, PG2;OsPGL6, PGL6;OsPGL8, PGL8
QOZ80_6BG0495540	O-fucosyltransferase family protein	
QOZ80_6BG0495550	Ribosomal protein L1p/L10e family	
QOZ80_6BG0495560	Peroxidase superfamily protein	prx30, OsPrx30;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
QOZ80_6BG0495600	peroxidase 2 (PA2);Peroxidase superfamily protein	prx2;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
QOZ80_6BG0495610	peroxidase 2 (PA2);Peroxidase superfamily protein	prx2;prx25;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
QOZ80_6BG0495620	Peroxidase superfamily protein	prx2;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
QOZ80_6BG0495630	Peroxidase superfamily protein	prx2;prx86, OsPRX86;prx87, OsPRX87, POD87, OsPOD87;prx88, OsPRX88
QOZ80_6BG0495640	aspartate aminotransferase 1 (ASP1);aspartate aminotransferase 2 (ASP2);aspartate aminotransferase 3 (ASP3);aspartate aminotransferase 4 (ASP4)	AST, OsAAT1;OsAAT3
QOZ80_6BG0495650	CONTAINS InterPro DOMAIN/s: Serine-threonine protein kinase 19 (InterPro:IPR018865);FUNCTIONS IN: molecular_function unknown	
QOZ80_6BG0495660	FAD-binding Berberine family protein;MATERNAL EFFECT EMBRYO ARREST 23 (MEE23)	
QOZ80_6BG0495670	FAD-binding Berberine family protein;MATERNAL EFFECT EMBRYO ARREST 23 (MEE23)	
QOZ80_6BG0495680	FAD-binding Berberine family protein	
QOZ80_6BG0495690	FAD-binding Berberine family protein	
QOZ80_6BG0495700	FAD-binding Berberine family protein	
QOZ80_6BG0495710	FAD-binding Berberine family protein	
QOZ80_6BG0495720	FAD-binding Berberine family protein;MATERNAL EFFECT EMBRYO ARREST 23 (MEE23)	
QOZ80_6BG0495730	FAD-binding Berberine family protein;MATERNAL EFFECT EMBRYO ARREST 23 (MEE23)	
QOZ80_6BG0495750	FAD-binding Berberine family protein	
QOZ80_6BG0495760	Ribosomal L5P family protein;ribosomal protein L16B (RPL16B);ribosomal protein large subunit 16A (RPL16A)	OsRPL5, RPL5
QOZ80_6BG0495770	unknown protein	
QOZ80_6BG0495780	ARA-2;RAB GTPase homolog A1B (RABA1b);RAB GTPase homolog A1C (RABA1c);RAB GTPase homolog A1D (RABA1d);RAB GTPase homolog A1F (RABA1f)	OsRab11C2;OsRab11C3;OsRab11D1, OsRab11, Rab11, ric2;OsRab11D2;OsRab11D3
QOZ80_6BG0495800	BES1/BZR1 homolog 3 (BEH3);BES1/BZR1 homolog 4 (BEH4);BRASSINAZOLE-RESISTANT 1 (BZR1)	OsBZR1, Os BZR1, OsBES1-6, BES1-6;OsBZR2, OsBES1-2, BES1-2;OsBZR3, OsBES1-5, BES1-5;OsBZR4, OsBES1-4, BES1-4
QOZ80_6BG0495810	RING/FYVE/PHD-type zinc finger family protein	OsFYVE04, FYVE04, OsFYVE4;OsFYVE13;OsFYVE15
QOZ80_6BG0495820	NOD26-like intrinsic protein 1;NOD26-like intrinsic protein 4;NOD26-like major intrinsic protein 1 (NLM1)	AM25, OsNIP1;4, NIP1-4, OsNIP1.4, NIP1.4;OsNIP1;1, NIP1-1, rMIP1, MIP1, OsNIP1.1, NIP1.1;OsNIP1;2, NIP1-2, OsNIP1.2, NIP1.2;OsNIP1;3, NIP1-3, OsNIP1.3, NIP1.3
QOZ80_6BG0495830	centroradialis (ATC);FLOWERING LOCUS T (FT);PEBP (phosphatidylethanolamine-binding protein) family protein;TWIN SISTER OF FT (TSF)	FT-L 3, OsFTL3, FTL3, FT-L3, RFT, OsRFT1;FTL, FT-L1, OsFTL1, FTL1;Hd3a, FT, qHD3(t)*, FT-L 2, OsFTL2, FT-L2, FTL2, OsHd3a;OsFTL12, FT-L11, SSS, OsSSS, SSS/OsFTL12;OsFTL13
QOZ80_6BG0495850	RING/U-box superfamily protein	HEI10A, HEI10B, OsHEI10, OsRING434, RING434
QOZ80_6BG0495860	heat shock transcription factor A1D (HSFA1D);heat shock transcription factor A2 (HSFA2);heat shock transcription factor  C1 (HSFC1)	HSfC1a, OsHsfC1a, OsHsf-02, OsHSF2, HSF2, rHsf13, HSF02, HSF13;HSfC2a, OsHsfC2a, OsHsf-05, HSF05, OsHSF5, HSF5;HSfC2b, OsHsfC2b, OsHsf-16, HSF16, OsHSF16;OsHsfC1b, HsfC1b, HSF03, OsHsf-03, OsHSF3, HSF3, HSF11, rHsf11
QOZ80_6BG0495880	Integrase-type DNA-binding superfamily protein;TINY2 (TINY2);TINY (tny)	OsERF#032, OsERF032, OsERF32, AP2/EREBP#021, AP2/EREBP21, OsDREB2B;OsERF#034, OsERF034, OsERF34, AP2/EREBP#042, AP2/EREBP42;OsERF#036, OsERF036, OsERF36, AP2/EREBP#007, AP2/EREBP7;OsERF#038, OsERF038, OsERF38, AP2/EREBP#082, AP2/EREBP82, OsDREB4-1;OsERF#122, OsERF122, AP2/EREBP#056, AP2/EREBP56
QOZ80_6BG0495890	SWIM zinc finger family protein / mitogen-activated protein kinase kinase kinase (MAPKKK)-related	OsMEL, OsRING460, RING460
QOZ80_6BG0495900	Protein of unknown function (DUF1677)	
QOZ80_6BG0495920	unknown protein	
QOZ80_6BG0495930	PENETRATION 3 (PEN3);pleiotropic drug resistance 12 (PDR12);pleiotropic drug resistance 1 (PDR1);pleiotropic drug resistance 7 (PDR7)	OsABCG34, OsPDR10, OsPDR1;OsABCG42, ABCG42, OsPDR12, OsABCG42_1, OsABCG42_2;OsPDR8, PDR4, P0410E03.16, OsABCG37, OsPDR4;OsPDR9, ospdr9, OsPDR3, PDR3, OsABCG36/OsPDR9, OsABCG36
QOZ80_6BG0495940	Ribosomal protein S24e family protein	OsRPS24
QOZ80_6BG0495950	initiator tRNA phosphoribosyl transferase family protein	
QOZ80_6BG0495960	amino acid permease 1 (AAP1);amino acid permease 2 (AAP2);amino acid permease 6 (AAP6);amino acid permease 8 (AAP8)	OsAAP11C, OsAAP11, AAP11;OsAAP11F, OsAAP7, AAP7, FCO7;OsAAP12A, OsAAP3, AAP3;OsAAP12B, OsAAP18, AAP18;OsAAP12C, OsAAP2, AAP2
QOZ80_6BG0495970	amino acid permease 1 (AAP1);amino acid permease 2 (AAP2);amino acid permease 6 (AAP6);amino acid permease 8 (AAP8)	OsAAP11C, OsAAP11, AAP11;OsAAP11F, OsAAP7, AAP7, FCO7;OsAAP12A, OsAAP3, AAP3;OsAAP12B, OsAAP18, AAP18;OsAAP12C, OsAAP2, AAP2
QOZ80_6BG0495980	amino acid permease 1 (AAP1);amino acid permease 5 (AAP5);amino acid permease 6 (AAP6);amino acid permease 8 (AAP8)	OsAAP11B, OsAAP15, AAP15;OsAAP11C, OsAAP11, AAP11;OsAAP12A, OsAAP3, AAP3;OsAAP12B, OsAAP18, AAP18;OsAAP12C, OsAAP2, AAP2
QOZ80_6BG0495990	amino acid permease 1 (AAP1);amino acid permease 2 (AAP2);amino acid permease 3 (AAP3);amino acid permease 8 (AAP8)	OsAAP11C, OsAAP11, AAP11;OsAAP12A, OsAAP3, AAP3;OsAAP12B, OsAAP18, AAP18;OsAAP12C, OsAAP2, AAP2;OsAAP6, OsAAP1, AAP1
QOZ80_6BG0496000	FTSZ2-1	FtsZ1, FtsZ, OsFtsZ1, OsFtsZ;FtsZ2-1
QOZ80_6BG0496020	HAESA (HAE);HAESA-like 1 (HSL1);HAESA-like 2 (HSL2);Leucine-rich receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain	
QOZ80_6BG0496030	HAESA (HAE);HAESA-like 1 (HSL1);HAESA-like 2 (HSL2);Leucine-rich receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain	
QOZ80_6BG0496040	MATE efflux family protein;ZF14	OsMATE6, MATE6, OsPTM97-1
QOZ80_6BG0496070	nuclear poly(a) polymerase (nPAP)	
QOZ80_6BG0496090	DNA/RNA polymerases superfamily protein	
QOZ80_6BG0496100	HAD superfamily, subfamily IIIB acid phosphatase 	OsVSP2
QOZ80_6BG0496110	iron regulated 2 (IREG2)	OsFPN1
QOZ80_6BG0496120	NAC domain containing protein 75 (NAC075)	ONAC003, ONAC3, ONAC016, ONAC16, SNAC3, OsSND3, SND3, OsNAC006, NAC006, ONAC066;ONAC073, ONAC73, OsSND2, SND2;ONAC094, ONAC94
QOZ80_6BG0496130	PPPDE putative thiol peptidase family protein	OsSTA68
QOZ80_6BG0496150	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP24;OsGELP25;OsGELP73;OsGELP86;OsGELP95
QOZ80_6BG0496160	myo-inositol oxygenase 1 (MIOX1);myo-inositol oxygenase 4 (MIOX4)	OsMIOX
QOZ80_6BG0496170	K+ efflux antiporter 2 (KEA2);K+ efflux antiporter 4 (KEA4);K+ efflux antiporter 5 (KEA5);K+ efflux antiporter 6 (KEA6)	OsAM1, AM1, OsKEA2, OsKEA1, KEA1;OsKEA1;OsKEA3;OsKEA4
QOZ80_6BG0496200	multidrug resistance-associated protein 6 (MRP6)	OsABCC11, ABCC11, OsMRP11, OsABCC8;OsABCC14, OsMRP14, OsABCC14-1, OsABCC14-2, OsABCC8, ABCC8;OsABCC15, OsMRP15
QOZ80_6BG0496210	BEL1-like homeodomain 2 (BLH2);homeobox gene 1 (ATH1)	OsBLH6;OsROSES1
QOZ80_6BG0496230	Pre-mRNA splicing Prp18-interacting factor;SWELLMAP 1 (SMP1);SWELLMAP 2 (SMP2)	
QOZ80_6BG0496240	embryo defective 1579 (emb1579)	
QOZ80_6BG0496250	N-MYC downregulated-like 1 (NDL1);N-MYC downregulated-like 2 (NDL2);N-MYC downregulated-like 3 (NDL3)	SF21
QOZ80_6BG0496290	ATB BETA;protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (B ALPHA)	
QOZ80_6BG0496300	TRIACYLGLYCEROL BIOSYNTHESIS DEFECT 1 (TAG1)	OsDGAT1-2;OsDGAT, DGAT, OsDGAT1-1
QOZ80_6BG0496310	O-acetylserine (thiol) lyase B (OASB);O-acetylserine (thiol) lyase isoform C (OASC)	OsOAS-TL, OAS-TL
QOZ80_6BG0496320	GNOM (GN);GNOM-like 1 (GNL1);GNOM-like 2 (GNL2)	OsGNOM1, GNOM1, CRL4/GNOM1, CRL2/CRL3;OsSEC7-1, OsGEF15, GEF15;OsSEC7-7, OsGEF14, GEF14
QOZ80_6BG0496330	Pentatricopeptide repeat (PPR-like) superfamily protein;Tetratricopeptide repeat (TPR)-like superfamily protein	OsPILS5, PILS5
QOZ80_6BG0496360	cytochrome P450, family 705, subfamily A, polypeptide 23 (CYP705A23);cytochrome P450, family 711, subfamily A, polypeptide 1 (CYP711A1);cytochrome P450, family 71, subfamily B, polypeptide 35 (CYP71B35);cytochrome P450, family 76, subfamily C, polypeptide 1 (CYP76C1)	CYP711A1, OsCYP711A1, Os1400/CYP711A3, Os1400, CYP711A3, OsCYP711A3, OsMAX1-1400, MAX1-1400;OsMAX1b, MAX1b, Os5100/CYP711A6, Os5100, CYP711A6, Os/CYP711A6, OsMAX1- 5100, MAX1- 5100;OsMAX1c, MAX1c, Os1500/CYP711A4, Os1500, CYP711A4, OsCYP711A4, OsMAX1-1500, MAX1-1500;OsMAX1D, Os1900/CYP711A5, Os1900, CYP711A5, OsCYP711A5, OsMAX1-1900, MAX1-1900
QOZ80_6BG0496370	heat shock transcription factor A1D (HSFA1D);heat shock transcription factor A2 (HSFA2);heat shock transcription factor  A6B (HSFA6B)	HSfA2b, OsHsfA2b, OsHsf-18, rHsf5, HS1, HSF18, OsHSF18, HSF5, OsHSF5;HSfA2c, OsHsfA2c, OsHsf-25, rHsf6, OsHSF6, HSF25, OsHSF25, HSF6, OsHsfA6a, HsfA6a;HSfA2e, OsHsfA2e, OsHsf-12, OsHSF12, HSF12, OsHsfA2a, HsfA2a;HSfA6, OsHsfA6, OsHsf-17, HSF17, OsHSF17, HSFA6A, OsHsfA2f, HsfA2f, OsHsfA7b, HsfA7b
QOZ80_6BG0496380	SMAD/FHA domain-containing protein 	
QOZ80_6BG0496390	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	osALA2
QOZ80_6BG0496400	RNA-binding (RRM/RBD/RNP motifs) family protein	OsRBGD3, RRM1-165, OsRRM1-165;OsRBP-D, RBP-D, RRM1-122, OsRRM1-122;OSRBPK, RBP-K, OsRBP-K, RRM1-156, OsRRM1-156;RBPI, RBP-I, RRM1-26, OsRRM1-26
QOZ80_6BG0496410	iron regulated transporter 3 (IRT3);zinc transporter 4 precursor (ZIP4)	OsZIP10;OsZIP5, OsZIP8, ZIP8, OsZIP9;OsZIP7;OsZIP8, OsZIP1, ZIP1, OsZIP13, ZIP13
QOZ80_6BG0496420	iron regulated transporter 3 (IRT3);zinc transporter 4 precursor (ZIP4)	OsIRT1, ZIP10, OsZIP10, OsZIP12, ZIP12;OsZIP10;OsZIP5, OsZIP8, ZIP8, OsZIP9;OsZIP7
QOZ80_6BG0496440	unknown protein	
QOZ80_6BG0496450	Leucine-rich repeat protein kinase family protein	OsRLCK295;OsRLCK337
QOZ80_6BG0496470	Cupredoxin superfamily protein;Plant L-ascorbate oxidase	OsAAO1;OsAAO2, L-APX, RIP5, OsRIP5;OsAAO5;OsChI1, ChI1, OsLAC3;OsORAP1, OzT9, AO, OsAAO4, AAO4
QOZ80_6BG0496480	GNOM (GN);GNOM-like 1 (GNL1);GNOM-like 2 (GNL2)	OsGNOM1, GNOM1, CRL4/GNOM1, CRL2/CRL3;OsSEC7-1, OsGEF15, GEF15;OsSEC7-5, OsGEF16, GEF16;OsSEC7-7, OsGEF14, GEF14
QOZ80_6BG0496490	MATE efflux family protein	
QOZ80_6BG0496500	MATE efflux family protein	
QOZ80_6BG0496510	Calcium-dependent phosphotriesterase superfamily protein;strictosidine synthase-like 3 (SSL3)	OsSTRL13, OsSSL9, SSL9;OsSTRL14, OsSSL10, SSL10;OsSTRL15, OsSSL11, SSL11;OsSTRL1, STRL1;tgw6, OsSTRL7, STRL7, OsSSL4, SSL4
QOZ80_6BG0496520	Plant L-ascorbate oxidase	OsAAO1;OsAAO2, L-APX, RIP5, OsRIP5;OsAAO5;OsLAC17;OsORAP1, OzT9, AO, OsAAO4, AAO4
QOZ80_6BG0496540	cytochrome P450, family 71, subfamily B, polypeptide 10 (CYP71B10);cytochrome P450, family 71, subfamily B, polypeptide 34 (CYP71B34);cytochrome P450, family 71, subfamily B, polypeptide 35 (CYP71B35);cytochrome P450, family 71, subfamily B, polypeptide 36 (CYP71B36);cytochrome P450, family 71, subfamily B, polypeptide 37 (CYP71B37)	OsCYP71AA3, OsCYP71AA1, CYP71AA1;OsCYP71E3;OsCYP71E5, OsCYP71E1, CYP71E1;OsCYP71S2
QOZ80_6BG0496550	cytochrome P450, family 79, subfamily B, polypeptide 2 (CYP79B2);cytochrome P450, family 79, subfamily B, polypeptide 3 (CYP79B3)	OsCYP703A3, OsCYP71AB12, CYP71AB12;OsCYP79A10
QOZ80_6BG0496580	Endomembrane protein 70 protein family;transmembrane nine 6 (TMN6);transmembrane nine 7 (TMN7)	
QOZ80_6BG0496590	ATPase, V1 complex, subunit B protein	OsVHA-B2;OsVHA-B, VHA-B1, OsVHA-B1
QOZ80_6BG0496620	cytochrome P450, family 76, subfamily C, polypeptide 1 (CYP76C1);cytochrome P450, family 98, subfamily A, polypeptide 3 (CYP98A3);cytochrome P450, family 98, subfamily A, polypeptide 8 (CYP98A8);GA requiring 3 (GA3);UNFERTILIZED EMBRYO SAC 9 (UNE9)	d35, d35(t), dwf30, OsKOL2, KOL2, KO2, OsKO2, OSKO2, KO, CYP701A, CYP701A6, Os KO2, OsKOL2/CYP701A;OsKO1, OSKO1, OSKOL1, OsKOS4, CYP701A7;OsKO4, OsKOL4, KOS1, CYP701A8, OsCYP701A8, OsKO2, CYP701A8/OsKOL4
QOZ80_6BG0496630	basic helix-loop-helix (bHLH) DNA-binding family protein	OsbHLH025, bHLH025, bHLH25;OsbHLH026, bHLH026, bHLH26;OsbHLH029;OsbHLH030
QOZ80_6BG0496640	histone deacetylase 2 (HDA2)	OsHDAC6, OsHDA706, HDA706
QOZ80_6BG0496650	unknown protein	
QOZ80_6BG0496660	Translation elongation factor EF1B, gamma chain	eEF1Bgamma, EF-1gamma, OsEF1G1, EF1G1;OsEF1G2
QOZ80_6BG0496670	Translation elongation factor EF1B, gamma chain	eEF1Bgamma, EF-1gamma, OsEF1G1, EF1G1;OsEF1G2
QOZ80_6BG0496700	cytokinin oxidase 2 (CKX2);cytokinin oxidase 3 (CKX3);cytokinin oxidase 4 (CKX4);cytokinin oxidase 5 (CKX5)	Gn1a, OsCKX2, CKX2, ckx2, Gn1a/OsCKX2, Os CKX2, CKX2/Gn1a;OsCKX1;OsCKX10;OsCKX5, ckx5;OsCKX7
QOZ80_6BG0496710	tetraspanin2 (TET2);tetraspanin3 (TET3);tetraspanin7 (TET7);tetraspanin8 (TET8);TORNADO 2 (TRN2)	OsTET12;OsTET2;OsTET4;OsTET9
QOZ80_6BG0496720	beta-galactosidase 12 (BGAL12);beta galactosidase 1 (BGAL1);beta-galactosidase 2 (BGAL2);beta-galactosidase 4 (BGAL4)	OsBgal2, OsBGal2;OsBgal3, OsBGal3;OsBgal7, OsBGal7, CARSR12
QOZ80_6BG0496730	CONTAINS InterPro DOMAIN/s: Fanconi Anaemia group E protein, C-terminal (InterPro:IPR021025)	
QOZ80_6BG0496740	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;ACC oxidase 1 (ACO1);ACC oxidase 2 (ACO2);ethylene-forming enzyme (EFE)	OsACO1, ACO;OsACO2, OsACO1, ACO1;OsACO3, ACO2, OsACO2;OsACO7
QOZ80_6BG0496750	root hair specific 4 (RSH4)	
QOZ80_6BG0496760	Exostosin family protein;MURUS 3 (MUR3)	OsGT47A-VII
QOZ80_6BG0496790	Cyclopropane-fatty-acyl-phospholipid synthase;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
QOZ80_6BG0496800	U-box domain-containing protein kinase family protein	OsPUB47, PUB47, OsRLCK207, OsUSP29, USP29, OsPUB47, PUB47;OsPUB48, PUB48, OsRLCK69, OsUSP10, USP10, OsPUB48, PUB48;OsPUB49, PUB49, OsRLCK307, OsUSP38, USP38, OsPUB49, PUB49;OsPUB51, PUB51, OsRLCK194, OsUSP27, USP27, OsPUB51, PUB51;OsRLCK68, OsUSP9, USP9
QOZ80_6BG0496810	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP37;OsGELP42;OsGELP44, OsGELP44a, OsGELP44b;OsGELP89;OsGELP90
QOZ80_6BG0496830	protein phosphatase 2A-2 (PP2A-1);protein phosphatase 2A-2 (PP2A-2);protein phosphatase 2A-4 (PP2A-4);serine/threonine protein phosphatase 2A (PP2A)	OsPP112, OsPP2Ac-4, PP2Ac-4;OsPP2A-1, PP2A1, OsPP88;OsPP2A-3, PP2A3, OsPP20;OsPP56, OsPP2Ac-2, PP2Ac-2
QOZ80_6BG0496870	disease resistance family protein / LRR family protein;receptor like protein 1 (RLP1)	
QOZ80_6BG0496960	glutathione S-transferase TAU 19 (GSTU19);glutathione S-transferase TAU 20 (GSTU20);glutathione S-transferase TAU 21 (GSTU21);glutathione S-transferase TAU 24 (GSTU24);glutathione S-transferase TAU 25 (GSTU25)	OsGSTU1;OsGSTU20;OsGSTU44;OsGSTU46;OsGSTU5
QOZ80_6BG0496970	glutathione S-transferase TAU 19 (GSTU19);glutathione S-transferase TAU 20 (GSTU20);glutathione S-transferase TAU 21 (GSTU21);glutathione S-transferase TAU 24 (GSTU24);glutathione S-transferase TAU 25 (GSTU25)	OsGSTU1;OsGSTU19, GSTU6, OsGSTU6, OsGSTU6.1, GSTU6.1;OsGSTU44;OsGSTU46;OsGSTU5
